car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti Swift Dzire,1.4L km,2010,Petrol,Manual,₹ 1.52 lakh
Maruti Swift Dzire,1.3L km,2016,Diesel,Manual,₹ 2.50 lakh
Maruti Wagon R 1.0,1.3L km,2013,Petrol,Manual,₹ 2.41 lakh
Maruti Wagon R 1.0,72.99k km,2013,Petrol,Manual,₹ 2.00 lakh
Maruti Ertiga,1.1L km,2014,Petrol,Manual,₹ 5.59 lakh
Maruti Dzire,62.74k km,2018,Petrol,Manual,₹ 4.34 lakh
Maruti Wagon R 1.0,61.92k km,2015,Petrol,Manual,₹ 3.12 lakh
Maruti Swift,50.83k km,2012,Petrol,Manual,₹ 2.48 lakh
Maruti Ertiga,1.4L km,2012,Diesel,Manual,₹ 4.53 lakh
Maruti Vitara Brezza,1.0L km,2016,Diesel,Manual,₹ 5.64 lakh
Maruti Swift Dzire,1.2L km,2012,Diesel,Manual,₹ 2.20 lakh
Maruti Wagon R 1.0,50.25k km,2013,Petrol,Manual,₹ 2.40 lakh
Maruti Ertiga,95.93k km,2015,Petrol,Manual,₹ 5.42 lakh
Maruti Wagon R 1.0,83.04k km,2013,Petrol,Manual,₹ 1.95 lakh
Maruti Ertiga,47.01k km,2019,Petrol,Manual,₹ 7.80 lakh
Maruti Wagon R 1.0,1.4L km,2013,Petrol,Manual,₹ 2.49 lakh
Maruti Wagon R 1.0,90.43k km,2014,Petrol,Manual,₹ 2.45 lakh
Maruti Wagon R 1.0,59.77k km,2013,Petrol,Manual,₹ 2.11 lakh
Maruti SX4,1.6L km,2011,Petrol,Manual,₹ 2.29 lakh
Maruti Wagon R 1.0,27.21k km,2013,Petrol,Manual,₹ 2.45 lakh
Maruti Swift Dzire,1.8L km,2015,Diesel,Manual,₹ 2.49 lakh
Maruti Wagon R 1.0,74.89k km,2012,Petrol,Manual,₹ 1.84 lakh
Maruti Wagon R 1.0,1.6L km,2013,Petrol,Manual,₹ 2.00 lakh
Maruti Wagon R 1.0,94.93k km,2014,Petrol,Manual,₹ 2.42 lakh
Maruti Wagon R 1.0,26.24k km,2014,Petrol,Manual,₹ 2.67 lakh
Maruti Ertiga,1.0L km,2014,Petrol,Manual,₹ 4.50 lakh
Maruti Swift Dzire,51.22k km,2015,Petrol,Manual,₹ 3.72 lakh
Maruti Wagon R 1.0,88.16k km,2013,Petrol,Manual,₹ 2.20 lakh
Maruti Swift Dzire,1.0L km,2014,Petrol,Manual,₹ 3.66 lakh
Maruti Alto 800,33.00k km,2016,Petrol,Manual,₹ 2.38 lakh
